Name,Search Category,Google Category,Address,Phone,Website,Latitude_URL,Longitude_URL,Google Maps URL
Asian mukta Cinemax Theater,Cinema hall,Movie theater,"MJJ5+7GF, Zaheerabad, Telangana 502228",,,17.6806977,77.6088059,https://www.google.com/maps/place/Asian+mukta+Cinemax+Theater/data=!4m7!3m6!1s0x3bceb4e1cf27a16d:0xe2a53816c692b23!8m2!3d17.6806977!4d77.6088059!16s%2Fg%2F11d_b9h9jp!19sChIJbaEnz-G0zjsRIytpbIFTKg4?authuser=0&hl=en&rclk=1
Mohan Theatre,Cinema hall,Movie theater,"Zaheerabad, Telangana 502220",,,17.6802896,77.6153957,https://www.google.com/maps/place/Mohan+Theatre/data=!4m7!3m6!1s0x3bceb4e71cab1d1d:0xe0663c74b3a33dfc!8m2!3d17.6802896!4d77.6153957!16s%2Fg%2F11r9g6080!19sChIJHR2rHOe0zjsR_D2js3Q8ZuA?authuser=0&hl=en&rclk=1
Asian Maheshwari Theatre,Cinema hall,Movie theater,"Road Market Yard, Zaheerabad, Telangana 502220",,,17.6818128,77.6162919,https://www.google.com/maps/place/Asian+Maheshwari+Theatre/data=!4m7!3m6!1s0x3bceb4e6f4c3c583:0x2ac2104dac7694dd!8m2!3d17.6818128!4d77.6162919!16s%2Fg%2F1xtf00h5!19sChIJg8XD9Oa0zjsR3ZR2rE0Qwio?authuser=0&hl=en&rclk=1
Telangana Minorities Residential Jr. College Boys-1 Algole (COE),Higher Education,College,"Behind Sub Station Algole, Zaheerabad, Sangareddy, Telangana 502318",095735 74777,,17.7299988,77.6274494,https://www.google.com/maps/place/Telangana+Minorities+Residential+Jr.+College+Boys-1+Algole+%28COE%29/data=!4m7!3m6!1s0x3bceb5bc1a47affd:0x9eaa9ccfa6932ec1!8m2!3d17.7299988!4d77.6274494!16s%2Fg%2F11qh2rrths!19sChIJ_a9HGry1zjsRwS6Tps-cqp4?authuser=0&hl=en&rclk=1
Govt Degree College Zaheerabad,Higher Education,College,"MMQ8+M8X, Housing Board Rd, Zaheerabad, Telangana 502318",098664 31227,https://gdcts.cgg.gov.in/zaheerabad.edu,17.689246,77.6658555,https://www.google.com/maps/place/Govt+Degree+College+Zaheerabad/data=!4m7!3m6!1s0x3bceb56f789a29d1:0x16381a5f87a0acdf!8m2!3d17.689246!4d77.6658555!16s%2Fg%2F11fn9vtc6t!19sChIJ0SmaeG-1zjsR36ygh18aOBY?authuser=0&hl=en&rclk=1
Mahindra Academy,Higher Education,School,"MHQM+RC4, NH 65, Hyderabad, Telangana 502220",,,17.6895209,77.5835686,https://www.google.com/maps/place/Mahindra+Academy/data=!4m7!3m6!1s0x3bceb572dda53397:0x42ad42961447e22a!8m2!3d17.6895209!4d77.5835686!16s%2Fg%2F1hdzb0ljr!19sChIJlzOl3XK1zjsRKuJHFJZCrUI?authuser=0&hl=en&rclk=1
HEERA VOCATIONAL JR COLLEGE,Higher Education,College,"16/1, beside Seventh Day School, Bank Colony, Zahirabad Rural, Zaheerabad, Telangana 502228",099896 64217,,17.6777933,77.6200775,https://www.google.com/maps/place/HEERA+VOCATIONAL+JR+COLLEGE/data=!4m7!3m6!1s0x3bceb4c2a7b3e6dd:0x74b2eab50daf84b5!8m2!3d17.6777933!4d77.6200775!16s%2Fg%2F11hbqpv0sv!19sChIJ3eazp8K0zjsRtYSvDbXqsnQ?authuser=0&hl=en&rclk=1
ACHARYA DEGREE COLLEGE,Higher Education,College,"MJJC+J38, Baswa Nagar Colony, Dattagiri Colony, Shantinagar, Zahirabad Rural, Zaheerabad, Telangana 502228",084512 75757,,17.6815339,77.620202,https://www.google.com/maps/place/ACHARYA+DEGREE+COLLEGE/data=!4m7!3m6!1s0x3bceb574aa239853:0x31a0581629260bf1!8m2!3d17.6815339!4d77.620202!16s%2Fg%2F11j1z2mw8k!19sChIJU5gjqnS1zjsR8QsmKRZYoDE?authuser=0&hl=en&rclk=1
SRAVANTHI JUNIOR COLLEGE ZAHEERABAD,Higher Education,Educational institution,"MJP8+4QW, Chennareddy colony, Zaheerabad, Telangana 502220",094407 02503,http://sravanthicollege.synthasite.com/,17.6854311,77.6160239,https://www.google.com/maps/place/SRAVANTHI+JUNIOR+COLLEGE+ZAHEERABAD/data=!4m7!3m6!1s0x3bceb4e04909dcf9:0x3120b703bd73a8c5!8m2!3d17.6854311!4d77.6160239!16s%2Fg%2F11cn92q44y!19sChIJ-dwJSeC0zjsRxahzvQO3IDE?authuser=0&hl=en&rclk=1
"Prof. Mohammed Abdul Jabbar, Govt. College Principal, Zaheerabad",Higher Education,Apartment building,"MJG9+JG2, Zahirabad Rural, Zaheerabad, Telangana 502220",,,17.6765117,77.618778,"https://www.google.com/maps/place/Prof.+Mohammed+Abdul+Jabbar,+Govt.+College+Principal,+Zaheerabad/data=!4m7!3m6!1s0x3bceb5001fb2c295:0xa5eca37d4836103f!8m2!3d17.6765117!4d77.618778!16s%2Fg%2F11xm5pwwy_!19sChIJlcKyHwC1zjsRPxA2SH2j7KU?authuser=0&hl=en&rclk=1"
SHAHEEN SCHOOL & JUNIOR COLLEGE,Higher Education,Education center,"Watan Bagh, Street, Zaheerabad, Telangana 502220",072047 33209,,17.6843437,77.6056402,https://www.google.com/maps/place/SHAHEEN+SCHOOL+%26+JUNIOR+COLLEGE/data=!4m7!3m6!1s0x3bceb51db8622737:0x7525fc4a0c59659e!8m2!3d17.6843437!4d77.6056402!16s%2Fg%2F11c5wnwl_h!19sChIJNydiuB21zjsRnmVZDEr8JXU?authuser=0&hl=en&rclk=1
GOVERNMENT POLYTECHNIC,Higher Education,Educational institution,"MJJC+222, Zahirabad Rural, Zaheerabad, Telangana 502228",,,17.68,77.62,https://www.google.com/maps/place/GOVERNMENT+POLYTECHNIC/data=!4m7!3m6!1s0x3bceb4e86fdaea9d:0x97247b2e8dfa83a8!8m2!3d17.68!4d77.62!16s%2Fg%2F11b77jsspv!19sChIJnerab-i0zjsRqIP6jS57JJc?authuser=0&hl=en&rclk=1
Sri Gayatri jr College,Higher Education,College,"MJJ4+HVJ, Zaheerabad, Telangana 502228",,,17.681464,77.6071352,https://www.google.com/maps/place/Sri+Gayatri+jr+College/data=!4m7!3m6!1s0x3bceb51e22622d4d:0xe448a61ecca24e3!8m2!3d17.681464!4d77.6071352!16s%2Fg%2F11d_7142x7!19sChIJTS1iIh61zjsR4yTK7GGKRA4?authuser=0&hl=en&rclk=1
Government Junior College,Higher Education,Junior college,"Block Rd, near Baga Reddy Stadium, Subhash Gunj, Zaheerabad, Telangana 502220",,,17.6781522,77.6122749,https://www.google.com/maps/place/Government+Junior+College/data=!4m7!3m6!1s0x3bceb4e0b0595251:0xdac6b19e10719a6d!8m2!3d17.6781522!4d77.6122749!16s%2Fg%2F1thspvq_!19sChIJUVJZsOC0zjsRbZpxEJ6xxto?authuser=0&hl=en&rclk=1
Mahindra Tractor Plant Zaheerabad,Higher Education,Manufacturer,"Mahindra and Mahindra Farm Division (Mahindra tractor plant, near, Zaheerabad - Bidar Rd, T Junction, Mahindra Nagar, Zaheerabad, Telangana 502220",000 800 100 4175,http://www.mahindra.com/,17.6867174,77.5822892,https://www.google.com/maps/place/Mahindra+Tractor+Plant+Zaheerabad/data=!4m7!3m6!1s0x3bceb56d796c3a9b:0x78090a44aead7530!8m2!3d17.6867174!4d77.5822892!16s%2Fg%2F11fz2stx97!19sChIJmzpseW21zjsRMHWtrkQKCXg?authuser=0&hl=en&rclk=1
"SRI SANGAMESHWARA GOVERNMENT POLYTECHNIC, ZAHEERABAD",Higher Education,College,"Ranjole, Zaheerabad, Telangana 502318",099123 42023,,17.6728387,77.6491463,"https://www.google.com/maps/place/SRI+SANGAMESHWARA+GOVERNMENT+POLYTECHNIC,+ZAHEERABAD/data=!4m7!3m6!1s0x3bceb4a015555553:0x434eb518a43ceeab!8m2!3d17.6728387!4d77.6491463!16s%2Fg%2F11btytxlwb!19sChIJU1VVFaC0zjsRq-48pBi1TkM?authuser=0&hl=en&rclk=1"
Manikrao K,Higher Education,University,"MJM9+RV8, Zahirabad Rural, Zaheerabad, Telangana 502228",,,17.6846189,77.6196245,https://www.google.com/maps/place/Manikrao+K/data=!4m7!3m6!1s0x3bceb5000ce56487:0x9fa3425a385414f4!8m2!3d17.6846189!4d77.6196245!16s%2Fg%2F11vr_6qfz7!19sChIJh2TlDAC1zjsR9BRUOFpCo58?authuser=0&hl=en&rclk=1
Master Minds Junior College,Higher Education,Junior college,"MJH7+WV7, Unnamed Road, Zaheerabad, Telangana 502228",,,17.6797973,77.6146795,https://www.google.com/maps/place/Master+Minds+Junior+College/data=!4m7!3m6!1s0x3bceb4e73c2f3093:0x4de255c3939b5636!8m2!3d17.6797973!4d77.6146795!16s%2Fg%2F11hbvvpfvt!19sChIJkzAvPOe0zjsRNlabk8NV4k0?authuser=0&hl=en&rclk=1
KNOWLEDGE HIGH SCHOOL,Higher Education,Higher secondary school,"MJH6+467, Hamali Colony, Dattagiri Colony, Shantinagar, Subhash Gunj, Zaheerabad, Telangana 502220",090326 91631,,17.6777879,77.610548,https://www.google.com/maps/place/KNOWLEDGE+HIGH+SCHOOL/data=!4m7!3m6!1s0x3bceb4e07dc10e39:0xdf8f58781e72ca55!8m2!3d17.6777879!4d77.610548!16s%2Fg%2F11dxdgmjj6!19sChIJOQ7BfeC0zjsRVcpyHnhYj98?authuser=0&hl=en&rclk=1
"Telangana Minorities Residential Junior College, Kohir Girls-1",Higher Education,Apartment complex,"MJRR+VF7, Pastapur X Rd, Zahirabad Rural, Zaheerabad, Thammadpalli, Telangana 502318",,,17.6921676,77.6411871,"https://www.google.com/maps/place/Telangana+Minorities+Residential+Junior+College,+Kohir+Girls-1/data=!4m7!3m6!1s0x3bceb55835990a1b:0xd54bdba62aa89309!8m2!3d17.6921676!4d77.6411871!16s%2Fg%2F11svk6s570!19sChIJGwqZNVi1zjsRCZOoKqbbS9U?authuser=0&hl=en&rclk=1"
Montessori High School,Higher Education,General education school,"Adarsh Nagar, (Dist) 502 220,, Zaheerabad, Telangana",,http://www.montessori-jngroups.com/,17.6879913,77.6225863,https://www.google.com/maps/place/Montessori+High+School/data=!4m7!3m6!1s0x3bceb4ef9052ce1d:0x5d73d40e6d9b760c!8m2!3d17.6879913!4d77.6225863!16s%2Fg%2F11bw61cwf0!19sChIJHc5SkO-0zjsRDHabbQ7Uc10?authuser=0&hl=en&rclk=1
Tapasya Junior College,Higher Education,College,"MJMC+Q66, Dattagiri Colony, Zahirabad Rural, Zaheerabad, Telangana 502228",094406 26093,,17.6844529,77.6207395,https://www.google.com/maps/place/Tapasya+Junior+College/data=!4m7!3m6!1s0x3bceb53291ef3a61:0xe10d3c9feb4322a9!8m2!3d17.6844529!4d77.6207395!16s%2Fg%2F11trk46_xc!19sChIJYTrvkTK1zjsRqSJD6588DeE?authuser=0&hl=en&rclk=1
Oxford High Schools,Higher Education,Higher secondary school,"MJMC+Q66, Dattagiri Colony, Zahirabad Rural, Zaheerabad, Telangana 502228",099490 10071,,17.6844024,77.620513,https://www.google.com/maps/place/Oxford+High+Schools/data=!4m7!3m6!1s0x3bceb4ef49a979d7:0xe43648ee76fcc67!8m2!3d17.6844024!4d77.620513!16s%2Fg%2F11fxc1dtgn!19sChIJ13mpSe-0zjsRZ8xv545kQw4?authuser=0&hl=en&rclk=1
"ZPHS, SHANTHINAGR ZAHEERABAD",Higher Education,High school,"MJ97+634, Zaheerabad, Telangana 502220",,,17.6680137,77.6127144,"https://www.google.com/maps/place/ZPHS,+SHANTHINAGR+ZAHEERABAD/data=!4m7!3m6!1s0x3bceb5455a5514e5:0xbbdf512b5023bff5!8m2!3d17.6680137!4d77.6127144!16s%2Fg%2F11mbplfnh6!19sChIJ5RRVWkW1zjsR9b8jUCtR37s?authuser=0&hl=en&rclk=1"
Hira Foundation School,Higher Education,General education school,"Plot no 7, sbh colony Rafiuddin SI, Zaheerabad, Telangana 502228",,http://www.hirafoundationschools.com/,17.6800859,77.6186252,https://www.google.com/maps/place/Hira+Foundation+School/data=!4m7!3m6!1s0x3bceb5faa67d3721:0x2b5360948383ba77!8m2!3d17.6800859!4d77.6186252!16s%2Fg%2F11r413snvl!19sChIJITd9pvq1zjsRd7qDg5RgUys?authuser=0&hl=en&rclk=1
Krishnaveni High School,Higher Education,High school,"Life Style Complex, Medak, NH-9, Mumbai Highway, Zahirabad, Zaheerabad, Telangana 502220",,,17.6807,77.6166,https://www.google.com/maps/place/Krishnaveni+High+School/data=!4m7!3m6!1s0x3bceb4e654db247d:0x9f4ba5135529dcf9!8m2!3d17.6807!4d77.6166!16s%2Fg%2F11g6xs65j5!19sChIJfSTbVOa0zjsR-dwpVROlS58?authuser=0&hl=en&rclk=1
Sanghamitra High School,Higher Education,Higher secondary school,"1-6-108, Algole Road, Zaheerabad, Telangana 502220",084512 95110,http://www.sanghamitraschool.in/,17.686363,77.6276363,https://www.google.com/maps/place/Sanghamitra+High+School/data=!4m7!3m6!1s0x3bceb4ec58330329:0xb953dfdce52784de!8m2!3d17.686363!4d77.6276363!16s%2Fg%2F1v_w0v48!19sChIJKQMzWOy0zjsR3oQn5dzfU7k?authuser=0&hl=en&rclk=1
Venkateshwara High School,Higher Education,Higher secondary school,"MJH6+GP8, Subhash Gunj, Zaheerabad, Telangana 502228",098490 45968,,17.6787784,77.6118165,https://www.google.com/maps/place/Venkateshwara+High+School/data=!4m7!3m6!1s0x3bceb4e0948d5b41:0x798a1020e0545de6!8m2!3d17.6787784!4d77.6118165!16s%2Fg%2F11gh46z1ys!19sChIJQVuNlOC0zjsR5l1U4CAQink?authuser=0&hl=en&rclk=1
Basic Computer's Zaheerabad,Higher Education,Education center,"Housing Board Rd, opposite government degree college, Shanti Nagar, Zaheerabad, Telangana 502220",,http://www.yuvakranthi.com/,17.6744399,77.6153352,https://www.google.com/maps/place/Basic+Computer%27s+Zaheerabad/data=!4m7!3m6!1s0x3bceb52cd4f91e91:0x4a0ff046440c31ea!8m2!3d17.6744399!4d77.6153352!16s%2Fg%2F11m9qq15g7!19sChIJkR751Cy1zjsR6jEMREbwD0o?authuser=0&hl=en&rclk=1
Power of India,Higher Education,High school,"MH9R+45R, Zaheerabad, Telangana 502220",,,17.6678717,77.5904053,https://www.google.com/maps/place/Power+of+India/data=!4m7!3m6!1s0x3bceb5004148c183:0xcb459b3199f6033a!8m2!3d17.6678717!4d77.5904053!16s%2Fg%2F11vzrw53hc!19sChIJg8FIQQC1zjsROgP2mTGbRcs?authuser=0&hl=en&rclk=1
Masjid e Bilal Faiyaz Nager Allipur Zaheerabad,Higher Education,University,"MJGC+3WQ, Unnamed Road, Zahirabad Rural, Zaheerabad, Telangana 502318",,,17.6752031,77.6223638,https://www.google.com/maps/place/Masjid+e+Bilal+Faiyaz+Nager+Allipur+Zaheerabad/data=!4m7!3m6!1s0x3bceb51de3f1e207:0xb13f3a414053a52d!8m2!3d17.6752031!4d77.6223638!16s%2Fg%2F11p4_hhp3t!19sChIJB-Lx4x21zjsRLaVTQEE6P7E?authuser=0&hl=en&rclk=1
Sri Krishnaveni high school new branch,Higher Education,High school,"MJH8+W2R, Zaheerabad, Telangana 502228",,,17.6798518,77.6150279,https://www.google.com/maps/place/Sri+Krishnaveni+high+school+new+branch/data=!4m7!3m6!1s0x3bceb5106a1c18ed:0x4b39c85ca042c2b!8m2!3d17.6798518!4d77.6150279!16s%2Fg%2F11qb3qby4x!19sChIJ7RgcahC1zjsRKywEyoWcswQ?authuser=0&hl=en&rclk=1
shiva nagar park,Higher Education,Open university,"MJJQ+4F7, Zaheerabad Main Rd, Allipur, Telangana 502318",,,17.6796181,77.6393894,https://www.google.com/maps/place/shiva+nagar+park/data=!4m7!3m6!1s0x3bceb5eb04cea9cf:0x28eb08d34e1aad1e!8m2!3d17.6796181!4d77.6393894!16s%2Fg%2F11kpzrgs59!19sChIJz6nOBOu1zjsRHq0aTtMI6yg?authuser=0&hl=en&rclk=1
Seventh-Day Adventist High School,Higher Education,Higher secondary school,"14-79, Moosanagar, Zahirabad Rural, Zaheerabad, Telangana 502228",,,17.6779207,77.6204733,https://www.google.com/maps/place/Seventh-Day+Adventist+High+School/data=!4m7!3m6!1s0x3bceb4c2a08ed0dd:0xbc383e41ef774572!8m2!3d17.6779207!4d77.6204733!16s%2Fg%2F11d_8t25bv!19sChIJ3dCOoMK0zjsRckV370E-OLw?authuser=0&hl=en&rclk=1
Nalanda High School,Higher Education,High school,"Shanti Nagar, Zaheerabad, Telangana 502220",092990 02186,,17.6710133,77.6115022,https://www.google.com/maps/place/Nalanda+High+School/data=!4m7!3m6!1s0x3bceb525ed6cb97f:0x468769ec10ac20c6!8m2!3d17.6710133!4d77.6115022!16s%2Fg%2F11sxy68866!19sChIJf7ls7SW1zjsRxiCsEOxph0Y?authuser=0&hl=en&rclk=1
SRI BBR ZENITH HIGH SCHOOL,Higher Education,High school,"MJPH+P68, Zahirabad Rural, Zaheerabad, Telangana 502228",,,17.6867864,77.6280682,https://www.google.com/maps/place/SRI+BBR+ZENITH+HIGH+SCHOOL/data=!4m7!3m6!1s0x3bceb500186523e7:0x175be0ed40fef1ab!8m2!3d17.6867864!4d77.6280682!16s%2Fg%2F11vxqjyxh9!19sChIJ5yNlGAC1zjsRq_H-QO3gWxc?authuser=0&hl=en&rclk=1
Vidya Bharathi High School,Higher Education,Higher secondary school,"Zahirabad Rural, Zaheerabad, Telangana 502228",094408 82679,,17.684268,77.6157347,https://www.google.com/maps/place/Vidya+Bharathi+High+School/data=!4m7!3m6!1s0x3bceb4f27a493ce7:0x5b5dab8ddcd9d273!8m2!3d17.684268!4d77.6157347!16s%2Fg%2F11gz68_y_!19sChIJ5zxJevK0zjsRc9LZ3I2rXVs?authuser=0&hl=en&rclk=1
Sri Narayana High School,Higher Education,High school,"Bhavani St, Baswa Nagar Colony, Zaheerabad, Telangana 502228",,https://srinarayanahighschool.in/,17.6835301,77.6185396,https://www.google.com/maps/place/Sri+Narayana+High+School/data=!4m7!3m6!1s0x3bceb4e607dff597:0xa55715052e596667!8m2!3d17.6835301!4d77.6185396!16s%2Fg%2F11c40lk1vh!19sChIJl_XfB-a0zjsRZ2ZZLgUVV6U?authuser=0&hl=en&rclk=1
LITTLE FLOWER HIGH SCHOOL,Higher Education,Higher secondary school,"MJMJ+HW8, Vema Reddy colony, Shantinagar, Zahirabad Rural, Zaheerabad, Telangana 502318",,,17.6839014,77.6323164,https://www.google.com/maps/place/LITTLE+FLOWER+HIGH+SCHOOL/data=!4m7!3m6!1s0x3bceb49499cadbcb:0xa187f85e697947c1!8m2!3d17.6839014!4d77.6323164!16s%2Fg%2F11g9g1pr_0!19sChIJy9vKmZS0zjsRwUd5aV74h6E?authuser=0&hl=en&rclk=1
Vishwa Keerthi High School,Higher Education,Higher secondary school,"MJPF+585, Dattagiri Colony, Zahirabad Rural, Zaheerabad, Telangana 502228",,,17.6853998,77.6233579,https://www.google.com/maps/place/Vishwa+Keerthi+High+School/data=!4m7!3m6!1s0x3bceb4eec1d32157:0x429aa53bf2be8a13!8m2!3d17.6853998!4d77.6233579!16s%2Fg%2F11g9k2l7vb!19sChIJVyHTwe60zjsRE4q-8julmkI?authuser=0&hl=en&rclk=1
Saint francis high school,Higher Education,Secondary school,"Sfhs, Zahirabad Rural, Zaheerabad, Telangana 502220",098498 45287,,17.681597,77.635196,https://www.google.com/maps/place/Saint+francis+high+school/data=!4m7!3m6!1s0x3bceb5b23eac4787:0xf344947fe45c4a01!8m2!3d17.681597!4d77.635196!16s%2Fg%2F11j384_1px!19sChIJh0esPrK1zjsRAUpc5H-URPM?authuser=0&hl=en&rclk=1
Krishnaveni High school,Higher Education,High school,"MJRH+38P, Zahirabad Rural, Zaheerabad, Telangana 502228",,,17.6902212,77.6283283,https://www.google.com/maps/place/Krishnaveni+High+school/data=!4m7!3m6!1s0x3bceb5e0570c0ea9:0xba368f9482c580a4!8m2!3d17.6902212!4d77.6283283!16s%2Fg%2F11fks3cw0n!19sChIJqQ4MV-C1zjsRpIDFgpSPNro?authuser=0&hl=en&rclk=1
Brilliant High School,Higher Education,High school,"Bhavani Mandir Rd, Hamali Colony, Subhash Gunj, Zaheerabad, Telangana 502220",091772 58766,,17.6777997,77.6107906,https://www.google.com/maps/place/Brilliant+High+School/data=!4m7!3m6!1s0x3bceb4e075fa7663:0xfbf028dc84030b63!8m2!3d17.6777997!4d77.6107906!16s%2Fg%2F11c2nhhjm1!19sChIJY3b6deC0zjsRYwsDhNwo8Ps?authuser=0&hl=en&rclk=1
Vidya Niketan High school,Higher Education,Higher secondary school,"MJ84+VF9, Ramnagar, Dattagiri Colony, Shantinagar, Shanti Nagar, Zaheerabad, Telangana 502220",094900 91455,,17.6672031,77.6064211,https://www.google.com/maps/place/Vidya+Niketan+High+school/data=!4m7!3m6!1s0x3bceb57072e2541b:0x70b57a311ed56e89!8m2!3d17.6672031!4d77.6064211!16s%2Fg%2F11s5c6hqcb!19sChIJG1TicnC1zjsRiW7VHjF6tXA?authuser=0&hl=en&rclk=1
Sri balaji steel zaheerabad,Higher Education,College,"Hanuman Mandir Rd, nagulakatta, Zaheerabad, Telangana 502220",095876 48322,,17.6848455,77.6108303,https://www.google.com/maps/place/Sri+balaji+steel+zaheerabad/data=!4m7!3m6!1s0x3bceb57b260d5a53:0x8b099c3adac91a21!8m2!3d17.6848455!4d77.6108303!16s%2Fg%2F11j_2xw9vv!19sChIJU1oNJnu1zjsRIRrJ2jqcCYs?authuser=0&hl=en&rclk=1
ZILLA PARISHAD GIRLS HIGH SCHOOL ZAHEERABAD,Higher Education,Girls' high school,"MJH6+4JX, Black road, opposite of Bhagareddy cricket stadium, Hamali Colony, Subhash Gunj, Zaheerabad, Telangana 502220",,,17.6778575,77.6116249,https://www.google.com/maps/place/ZILLA+PARISHAD+GIRLS+HIGH+SCHOOL+ZAHEERABAD/data=!4m7!3m6!1s0x3bceb5afd3e2b023:0x35c7c89356513aa2!8m2!3d17.6778575!4d77.6116249!16s%2Fg%2F11k4jbln67!19sChIJI7Di06-1zjsRojpRVpPIxzU?authuser=0&hl=en&rclk=1
Mahindra,Higher Education,Housing society,"MJMH+JV7, Royal Colony, Vema Reddy colony, Zahirabad Rural, Zaheerabad, Telangana 502318",,https://www.mahindra.com/,17.6840483,77.6296597,https://www.google.com/maps/place/Mahindra/data=!4m7!3m6!1s0x3bceb52a93e21211:0x82b7b3faaeec5ff9!8m2!3d17.6840483!4d77.6296597!16s%2Fg%2F11qh8rdbl6!19sChIJERLikyq1zjsR-V_srvqzt4I?authuser=0&hl=en&rclk=1
